wytrzymywać endure
wieszcz bard
wierzytelny creditable
worek bag 
wycieczka tour
wypoczynek rest
wrzesień semptember
wszechobecny omnipresent
wąż snake
wielkoduszność generosity
wspaniały wonderful
wynajdywać invent
wieczny eternal
wątpliwy doubtful
wyborca voter
wydobywać extract
wózek cart
wypowiedź statement
wykrywać detect 
włóczęga drifter
współzależność correlation
woda water
wybrakowany defective
wiara faith
wspólne shared
wydma dune
wyprzedaż sale
wylewny outgoing
wyłącznik switch
wybawienie deliverance
wielokrotność multiplicity
wzór pattern
